id,artist_name
6dCuGVBOQmVNEbRIDEUHy0,R Dydy
0vWwLLUSleBmyBGmL5GbLv,2:45:00 am
2JUs4EVimq0ShpPeIgeokl,King Von
1LpFxoC3TDeUSjU2qp3Iu1,who is he
3MAfAtD9lKvugbWzaz21LS,Bill Withers
63biRmMYSLjClGv5arakyn,Sleeping
5m5aCXvh8q8fBNcGzneWQt,Colter Wall
6YhDanPMUpBxzIOB8jlgOG,Timeless
37fcOImXwKOFOUwKYud0W0,A Boogie Wit da Hoodie
12WAcEcT03Hkvdwb343fcU,Pound for Pound
4Ms7qEi3z5qNjpD41OWHhf,The Bad Plus
3sRfyb4OsHeKhN9yMmXdPz,Finger Trembling
6IBsaKAy1kDhsqDK9niOht,Doug Burr
0zltCbKuXQlZi0DHEli83W,Overload
4a9j7bIg4BT9J87pQT7b8j,Mavins
1RlZcBrZ2215I0RIS5ElT0,Kill Yourself (Part III)
7EuMuKPHTUKw97m0KJHbtx,$uicideboy$
69m28mCqbgVcDI8GEkUzWw,2nd Hand
0yOvaZL3DVgvYjzYKfilSF,$uicideboy$
33wSeazReUjdpjlpG2O7gI,Antarctica
6NGpZZYR8pzj7jo6oc2icJ,$uicideboy$
3YmPKPB5B6bfCZYgF0wmiq,Memoirs Of A Gorilla
7l6Wb98Dnxb5n1ufADNHLa,$uicideboy$
1ojp0kfnXyRvr5cemuU0qD,Runnin' Thru The 7th With My Woadies
01gihn8zKrwsafKnD3UGDz,$uicideboy$
5WY9OTNkgX1Sd1WluZL77F,Mount Sinai
6xPjbdiUqIqM3uD1B0JA1o,$uicideboy$
5X5Kd4ULRLE5Rd7p8tmahp,FUCKTHEPOPULATION
11eVByVk8tL0JSBFlvan5i,$uicideboy$
21cGO6AxAJJDTV7Po9ywZa,Magazine
1Xy9svIXQU6euAlGi7uutt,$uicideboy$
7ksRhRXztNfSwm8W7uFq1f,2 Hot 4 U (feat. $Uicdeboy$)
6IkCht32pbDskKd8NWzWBF,Fat Nick
6kl1qtQXQsFiIWRBK24Cfp,O Pana!
5Uj6Zy5QoGdEZob7xRUakV,$uicideboy$
6oBL8TdQHEO7jeEdqECg37,LTE
3RAMLlYnwk3CObaU4V4RBx,$uicideboy$
7m1p5O2UOyQM14DVIZUwGx,Champion Of Death
6lsxMdXKFAXZDPe8om1iOI,$uicideboy$
0FmrNFYyLLRtIS7XWJPLLk,Seppuku (feat. Suicideboy$ & Jgrxxn)
6eL1ncVDtQHgSm3E288TS7,Ghostemane
27H0ZfxRxOC97n72akzapS,You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening)
6jSvKhj9D9tXTgiyOHhYn8,$uicideboy$
3Bo3lNVQTtZYMCoItX8dKW,Slip On A Banana Clip
40zwfL4MFqa3LN5Cauu70u,$uicideboy$
6fMIRwUAU2Zyb2IaMGiyAg,A Death In The Ocean Would Be Beautiful
1uDtlAvSiXgktRJjA8LpWC,$uicideboy$
2XT4tF5bnKqmxZi6rxN43d,Shattered Amethyst
177BasCdDuPYuv0E0Ujbqs,$uicideboy$
0AANzyXvGrG0buJ8bksZyt,Goosebumps
2ww1CemCVpqs9sQXO9jfN2,Travis Scott
4kBrbBGK0vLW1CihB20Qtq,Venom
7Cye3UbCA6UNuDykdCf3AB,$uicideboy$
35su7ZktjYPHSIUSKlr7XD,Bury Me
4zoYSZrDb3EUPWlDi2OwAC,Riley Green
44X2fcZQhyywsHTmvbS5zY,Hack Slash
7yZBKFxnmoHLJFhAy2BBlo,Getter
4CHp6dRZTeFAu4bSOxfH7Y,2000 Rounds
46eK1kembooWblMi7M7yLM,Ghostemane
4mx0eNjjZUyOzfY3I4P9HD,Sea Sick
6lt8N5nSY1EaiyeDRAIwcW,binki
3PcrNUFsSYnkJJNE6roBKl,Grain
2djY65hifu2a4R2WqcXqKL,Astral Noise
2KSFen8RLeGFqBQ8Dfx1gU,"Beware, the Sirens"
3f9xcqxIGsm85RFjGEG2W9,Getter
7t2eWdGWBTAxaXxaGqq9ts,Kali Yuga
1hXn4XPjJ40toZWl2bWYZu,Ghostemane
4DgImhJ5lY30bQdY6zVsb4,Hexada
4zIMuGSdbGTahvHB7CloVR,Ghostemane
1rr9KQgLpdA8gN307EufaA,Caligula
0NeiQDX41fUCbSVkek4qBQ,Ghostemane
2os38o5E7NoO4B2cx42h5V,Niagara (feat. Lil Peep)
4rLltALU0JVawcOAA88bnQ,Ghostemane
0cITCVs87JVapD98fVnj7X,Scrying Through Shattered Glass
7Cq27Qc3WRyQ3ddwVslpVZ,Ghostemane
3STThGLjuFSaoseZvWupmx,Polaris
3IIArPxV2jUXk2zTKbzCVx,Stellarscopees
44AH8XwgrebHvQAZJbSrsV,Rapture
3whnCBcKgmEstjzv3Kxruh,INTERWORLD
0Z9sJ77J6qKd2HYv32ynUS,Blackmage
25EQ1EYpBTC26cRRoiLsTf,Ghostemane
2wf9bp4MkChojtljddWpbO,Tartarus
5GxLshYIBBgkrW4a9aUVn0,Ghostemane
6Ikh2kZIzZ2GEKpZfrV3D3,Until the Light Takes Us
1mWYAMktr6Ggh9paVLyc69,Ghostemane
6AK1RhuJ2zNxPO15SGtRsf,As Above so Look out Below
6Y80EzVMJjFp9Yxy50SN7D,Ghostemane
0UzDPAMBI8miCHsYoqRb7g,Swan
3Q241k92c1I5sqKbdw6Ujb,Rae Sremmurd
0Tts40MjmgraglRVSaggue,Sneak Diss (feat. So6ix)
5O7aJIOY5BWvpCkQo23092,Ghostemane
4MrtFJI2CDTRJs9FXpBdGo,Plague Doctor Mask
3DzuPzpdZtn3oFVZ9gcy0M,Ghostemane
6r7ULK6c5CLVvImjTIztl1,Some of Us May Never See the World
6mAz8D1TmlTuef90dbNIiZ,Ghostemane
6fxWseQSRKOF2nfkGbaJWO,Filth
694J4C7mBU2dWxQBphFslt,South Park Mexican
0kVivrCfN1ffLCno8z2TAJ,Homecoming
4uVrs1SNb31FknIkIOTF9t,Kanye West
11NHApIN2R0DZJDypPYeFJ,Blood
2jUav7K1nwfKyVosT94ACA,Lady Gaga
